,url,sentiment,isExperiential,isPolitical,isInsult,topics
1.42040702584713E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/btsmembo/status/1420407025847132171&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['nan']
1.57619756757853E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/GAMZEYL33996220/status/1576197567578529792&entry.653903203=28452&usp=pp_url
",,,,,
1.55116384036841E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/SED58417690/status/1551163840368414722&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1.58926068262493E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Memetr38/status/1589260682624929792&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,"['Economy', 'Inflation&poverty']"
1.56215716592588E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/bllkctrk/status/1562157165925875712&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Crime&justice']
1.40849869047877E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/MahmutM54097409/status/1408498690478772225&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.5944016164001E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ali42646348/status/1594401616400097282&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1.43026598613393E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ardamedeiros/status/1430265986133934084&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['nan']
1.59624731215806E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/emmoglu44/status/1596247312158064640&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election', 'Nationalsecurity']"
1.40234093545589E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/DVeyd3/status/1402340935455891462&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Sports']
1.43478770378305E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/jerviajeon/status/1434787703783051264&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['nan']
1.41782992216957E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/PEPO63745481/status/1417829922169569285&entry.653903203=28452&usp=pp_url
",,,,,
1.39145482621985E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/bengisuduran0/status/1391454826219847681&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1.59576145831857E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/mahmut97475946/status/1595761458318565376&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election']"
1.58047712990443E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/34CM06/status/1580477129904427008&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,Yes,['Crime&justice']
1.56725644517912E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/mynet/status/1567256445179117570&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,"['News', 'Nationalsecurity']"
1.58576623349189E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ekalkanli2023/status/1585766233491886081&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,"['Corruption', 'Crime&justice']"
1.5433552256454E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/selahattinsmt/status/1543355225645400064&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,['Unemployment']
1.38280755380187E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/EBRARERDEN12/status/1382807553801871362&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['nan']
1.59797676959613E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/HaberHabire/status/1597976769596125184&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,['News']
1.58532941071844E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/allikanpara/status/1585329410718437377&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['nan']
1.5567539216575E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Chpkyakailcebsk/status/1556753921657503744&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['News']
1.5965515895939E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/KemalEzgi60/status/1596551589593903107&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['nan']
1.59424256253744E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/300ccc300/status/1594242562537443331&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Crime&justice']
1.59693802878562E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Smyy_612/status/1596938028785618945&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.38823518365301E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/tbzoc/status/1388235183653011462&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Sports']
1.59511598018293E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/meliha_ozgun/status/1595115980182925312&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.59727128494961E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hakhukcu/status/1597271284949610496&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1.58669915371914E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ramazan90293492/status/1586699153719140354&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,"['Economy', 'Inflation&poverty']"
1.59798392522553E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ErdiBurakMaden1/status/1597983925225525249&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,"['Corruption', 'Education']"
1.55558786672148E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ErsinErchin/status/1555587866721484802&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['News', 'Crime&justice']"
1.57376510878587E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Reiscidir__/status/1573765108785872897&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Corruption', 'Crime&justice', 'Terrorism', 'Nationalsecurity']"
1.58965936369363E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/abdllh_ydk/status/1589659363693633536&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,"['Crime&justice', 'Terrorism', 'Nationalsecurity']"
1.37871697116916E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/sametpol/status/1378716971169157122&entry.653903203=28452&usp=pp_url
",,,,,
1.58518513384152E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Konyal29012273/status/1585185133841518595&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,Yes,"['Corruption', 'Election', 'Crime&justice']"
1.5921204080732E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/shingensbanner/status/1592120408073203712&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['Crime&justice']
1.59761743758298E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/agagaggq/status/1597617437582983168&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.59033793457383E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/osmansonmez19/status/1590337934573834241&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.59057203773483E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/NrbyClk/status/1590572037734825985&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Corruption', 'Democracy']"
1.58856879298435E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Maviruh_/status/1588568792984346624&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['Unemployment', 'Education']"
1.57196618976458E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ghostsolgiers/status/1571966189764579332&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['nan']
1.59061435766239E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/HasanGvenMert1/status/1590614357662388224&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.54399241061049E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ekpss6565/status/1543992410610491399&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['Unemployment', 'Education']"
1.38823238900928E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/EbrarKa31087199/status/1388232389009281030&entry.653903203=28452&usp=pp_url
",Negative,No,No,No,['Health']
1.34747232057159E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/shrek4200/status/1347472320571592704&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['Health']
1.58528621134581E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/canozum91/status/1585286211345809413&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,"['Democracy', 'Crime&justice']"
1.3812195924088E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/lilpeepcik/status/1381219592408797185&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['nan']
1.41503226057168E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/savasxozkan/status/1415032260571680768&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Sports']
1.59179708913434E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/15binparamedik/status/1591797089134338048&entry.653903203=28452&usp=pp_url
",Negative,No,No,No,"['Unemployment', 'Health']"
1.5852165397958E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/anonim_yzr/status/1585216539795804160&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,"['Democracy', 'Nationalsecurity']"
1.59619361313407E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/banu_2023/status/1596193613134073856&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Economy', 'Inflation&poverty']"
1.59257083877956E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BeritanTuran2/status/1592570838779559936&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.59244058792363E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AzizErguven/status/1592440587923632128&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.59105813355576E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Hak_kerem/status/1591058133555757056&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Crime&justice']"
1.59368977293706E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/haritamuh5/status/1593689772937060353&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.59801111744362E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/melounall/status/1598011117443616769&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Unemployment']
1.36460613629349E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Malivskyr/status/1364606136293486597&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.56148264260388E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/alierolsun/status/1561482642603884545&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Inflation&poverty', 'Unemployment', 'Democracy']"
1.56492645009601E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/sbolusonsoz/status/1564926450096013313&entry.653903203=28452&usp=pp_url
",,,,,
1.59547279596153E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/basaran_sah/status/1595472795961532416&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['Inflation&poverty', 'Unemployment']"
1.55985627490015E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hakan198047/status/1559856274900148227&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['Economy', 'Education']"
1.36572664041698E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/minminsoz/status/1365726640416976906&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.56793274603447E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hknhkn020/status/1567932746034470917&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Crime&justice']
1.5936491590091E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ahmetbaran70/status/1593649159009099777&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Crime&justice']"
1.58383999489633E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mustafa38187707/status/1583839994896330753&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['Religion']
1.58429619024156E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BedrettinBeder/status/1584296190241562625&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,"['Unemployment', 'Education']"
