,url,isOrganizational,isBot,isTroll,gender
canpixlr,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/canpixlr&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
suathayri8,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SuatHayri8&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
hilcoban,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/hilcoban&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
turguttunc34,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/TurgutTunc34&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
arifayd89909179,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ArifAyd89909179&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
twitsildiren,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/twitsildiren&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
aydsunal,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/aydsunal&entry.1108662262=28339&usp=pp_url
",No,No,Yes,Not sure
matematikxxx,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/matematikxxx&entry.1108662262=28339&usp=pp_url
",No,Yes,No,Not sure
turk_texas,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/turk_texas&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
mahmutsarsoy2,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/MahmutSarsoy2&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
seyyah2011,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/seyyah2011&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
yalan__zaman,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/YALAN__ZAMAN&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
sencerbeyyyy,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Sencerbeyyyy&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
difuruz,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/difuruz&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
gulaktasss,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/gulaktasss&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
emre_caliskann,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Emre_Caliskann&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
holydejun,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/holydejun&entry.1108662262=28339&usp=pp_url
",No,No,No,Not sure
delidemir33,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/delidemir33&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
birdostunuzumm,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Birdostunuzumm&entry.1108662262=28339&usp=pp_url
",No,Not sure,Not sure,Female
gmalazgirt,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/GMalazgirt&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
oguzksalici,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/oguzksalici&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
rd3622,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/rd3622&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
sensoyle_1,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/sensoyle_1&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
mcanoz45,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/mcanoz45&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
yorumsuzadam87,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Yorumsuzadam87&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
biologselim,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/BIOLOGSELIM&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
sunayildizoglu,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SunaYildizoglu&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
mhakankocak,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/mhakankocak&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
mariojardell,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/mariojardell&entry.1108662262=28339&usp=pp_url
",No,Not sure,Not sure,Not sure
vesimbaran2,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/VESiMBARAN2&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
farukhalit2,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/FarukHalit2&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
mustafaarst,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/MustafaArst&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
harlunoshi,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Harlunoshi&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
ayseozdogan06,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Ayseozdogan06&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
cakan0_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/cakan0_&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
gokcenn7,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/gokcenn7&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
sevdaac72373936,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Sevdaac72373936&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
ua_mehmety_gs,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/uA_MehmetY_Gs&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
semoswebster,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/semoswebster&entry.1108662262=28339&usp=pp_url
",No,No,No,Not sure
cagdasadim,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Cagdasadim&entry.1108662262=28339&usp=pp_url
",No,No,No,Male
aysima_53,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Aysima_53&entry.1108662262=28339&usp=pp_url
",No,No,No,Female
