,url,isOrganizational,isBot,isTroll,gender
teknikfaul21,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Teknikfaul21&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
dunkerali,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/DunkerAli&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
full71716948,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Full71716948&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
profdrfiliz,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ProfDrFiliz&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
muhittinakkus63,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Muhittinakkus63&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
sevim8134,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Sevim8134&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
rmz_49,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/rmz_49&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
burakerbaychp,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/burakerbaychp&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
indiefolkera,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/indiefolkera&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
bisabisanya_dik,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/BisaBisanya_dik&entry.1108662262=26581&usp=pp_url
",No,Not sure,Not sure,Not sure
ars1an07,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ars1an07&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
barutcu_armagan,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/barutcu_armagan&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
atikegulec45,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/atikegulec45&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
kemal6813,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Kemal6813&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
nedenburdaysam,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/nedenburdaysam&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
mogollar32,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/mogollar32&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
firatyurdakul,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/FiratYurdakul&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
vtnsana52,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/vtnsana52&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
funda_0227,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/funda_0227&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
zgulesci,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/zgulesci&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
kontgatess,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/kontgatess&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
bensuveyda_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/bensuveyda_&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
ranaleventt,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ranaleventt&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
morgbekcisi448,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Morgbekcisi448&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
hanalekrg,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/HanaleKrg&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
anilozoruc,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/anilozoruc&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
biologselim,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/BIOLOGSELIM&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Male
cnrgny,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/cnrgny&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
sezgin_45,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Sezgin_45&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
dude_ossie,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/dude_ossie&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Not sure
gl21509653,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Gl21509653&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
allahinyok,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/allahinyok&entry.1108662262=26581&usp=pp_url
",No,No,No,Not sure
kadirozgen38,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/kadirozgen38&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Male
mahmutzrl1,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Mahmutzrl1&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
aydsunal,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/aydsunal&entry.1108662262=26581&usp=pp_url
",No,No,No,Not sure
mmehmettklnc,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/mmehmettklnc&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
glson09420724,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Glson09420724&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
kelal_i_dil,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/kelal_i_dil&entry.1108662262=26581&usp=pp_url
",No,Not sure,Not sure,Female
aysellaysell33,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/AysellAysell33&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
sametyl18395131,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SametYl18395131&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
serkanyardim,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SERKANYARDIM&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
tarikcapci,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/tarikcapci&entry.1108662262=26581&usp=pp_url
",No,Yes,No,Male
kadrosuz123,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/kadrosuz123&entry.1108662262=26581&usp=pp_url
",Yes,No,No,Not sure
alekberakyol1,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ALEkberAkyol1&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
scorpiehoez,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SCORPIEHOEZ&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
ibrahimkizilas5,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ibrahimkizilas5&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
cana_hanc,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/cana_hanc&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Male
huzeyfeabu,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/HuzeyfeAbu&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Male
sibelsengul_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/sibelsengul_&entry.1108662262=26581&usp=pp_url
",No,Not sure,Not sure,Female
matlda_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/matlda_&entry.1108662262=26581&usp=pp_url
",No,No,Not sure,Not sure
celallker5,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Celallker5&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
berkaysizgen,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/BerkaySizgen&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
_zrfyldrm,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/_zrfyldrm&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
d_carpe_diem_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/D_Carpe_Diem_&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
esdurumu123,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/esdurumu123&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
gokcekiz3,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Gokcekiz3&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
medyatavacom,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/medyatavacom&entry.1108662262=26581&usp=pp_url
",Yes,No,No,Not sure
haf_zhan,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/haf_zhan&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
arpakzafer,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ArpakZafer&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
erhanuluhan,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Erhanuluhan&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
alidursuner,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/alidursuner&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
diriliszamani_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/DirilisZamani_&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
sumdiyolarr,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/sumdiyolarr&entry.1108662262=26581&usp=pp_url
",No,Not sure,No,Female
starlightd0,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/StarlightD0&entry.1108662262=26581&usp=pp_url
",No,No,No,Not sure
diyabetliannesi,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/diyabetliannesi&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
nasreenakhan006,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/NasreenaKhan006&entry.1108662262=26581&usp=pp_url
",No,No,No,Not sure
nabiyonyevrum,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/nabiyonyevrum&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
luna_bamby,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/luna_bamby&entry.1108662262=26581&usp=pp_url
",No,Not sure,Not sure,Not sure
aytaasl07787580,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/AytaAsl07787580&entry.1108662262=26581&usp=pp_url
",No,Not sure,Yes,Male
topcu_abdullahh,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/topcu_abdullahh&entry.1108662262=26581&usp=pp_url
",No,Yes,No,Male
alparsl27435232,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Alparsl27435232&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
dcigdemyuksel,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/DCigdemyuksel&entry.1108662262=26581&usp=pp_url
",No,Yes,No,Female
tbatmaz2,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/tbatmaz2&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
sleyman25240212,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Sleyman25240212&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
vesimbaran2,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/VESiMBARAN2&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
_sydneycarton_,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/_SydneyCarton_&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
sergioahmett,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/SergioAhmett&entry.1108662262=26581&usp=pp_url
",No,Not sure,No,Male
ozlem75054020,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ozlem75054020&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
mrsforestt,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/MrsForestt&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
semabzkrt7,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/semabzkrt7&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
alminaakanki,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/alminaakanki&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
wtfurki,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/wtfurki&entry.1108662262=26581&usp=pp_url
",No,Not sure,No,Male
bettyboop0077,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/bettyboop0077&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
oktayilmaz18,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/oktayilmaz18&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
trkiye66620644,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Trkiye66620644&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
erdinc767676,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/erdinc767676&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
enesrhan3,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Enesrhan3&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
bkezaps,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/bkezaps&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
delidemir33,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/delidemir33&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
